"1.wav" "H l q + q ii0 s r ii0 + b q AA l n aa + s b uu0 E ii0 n + b n T l q + f ii0 h aa + m aa + b t n z l $"
"2.wav" "m $ + E aa r f + n z l h aa + uu0 f ii0 + l aa x r + d x l n aa + s ii0 + s k $ n"
"3.wav" "T r ii0 n aa + l E m l ii0 + E $ aa n + l H l q + d ii0 + t n z l + l n h aa r d"
"4.wav" "b r j + l E * r aa < + y aa + x w aa n ii0 + l ii0 h + m $ k l + b s II0 T + k d h"
"5.wav" "aa n h + h uu0 + m $ + h q uu0 l + l k m + m $ + b ii0 H b + ii0 E t * r"
"6.wav" "b s + E n d h + m l y uu0 n + E * r + n + h uu0 + m g l T $"
"7.wav" "f aa n aa + s uu0 < + t q d ii0 r ii0 + n aa n aa + f aa k r + n k m + E aa r f ii0 n + h aa * i1 h + l aa E * aa r"
"8.wav" "aa n aa + E n d ii0 + ii0 E n ii0 + E * r + S H ii0 + m r k z w aa + m E aa y aa + S H ii0"
"9.wav" "k l h aa + k m + $ h r + k d h + n + $ aa < + l l h + uu0 t E * r uu0 n ii0"
"10.wav" "uu0 t E r f w aa + n ii0 + k n t + f t r + S E b + uu0 k l k uu0 + * UU0 q + uu0 n Z r"
"11.wav" "aa l n h aa r d + H l q t n aa + y aa + uu0 l aa d + h n t k l m + E n + H aa j + m h m + q w ii0"
"12.wav" "uu0 h ii0 + l k m aa l + f ii0 + l n q S + w a l n q S + f ii0 + l k m aa l"
"13.wav" "w a l d h n + f ii0 + l E t aa < + w a l H d aa ^ + f ii0"
"14.wav" "b j d + w a l l h + l E Z ii0 m + E aa ii0 z aa + E aa ii0 z aa k m + t t < m l w aa + m E aa y aa"
"15.wav" "f q d + ii0 h + l H aa j + l m aa + t b q AA + n q S + m r + n q S"
"16.wav" "uu0 m r + k a m l + m r + f ii0 h aa + g l T + m r + m f ii0 h $"
"17.wav" "d h + q d + ii0 h + b ii0 d ii0 h aa + m z AA q + UU0 T E m + uu0 l uu0 n + uu0 r ii0 H + uu0 n k h"
"18.wav" "ii0 E n ii0 + d l UU0 q t ii0 + < a n aa + l m aa + m ^ l aa + t ii0 j w aa + k l + s b uu0 E + k d h"
"19.wav" "y uu0 m + l H d + t l AA q uu0 n ii0 + m n z l + H l q + ii0 h + l m l l + d h"
"20.wav" "m t aa H + n aa + b q AA + uu0 m s h l + t < m l w aa + f ii0 + l m UU0 D uu0 E"
"21.wav" "E n S r + l aa ^ aa r + E n S r + l t r q b"
"22.wav" "aa l t r q b + ii0 E n ii0 + n aa + n aa"
"23.wav" "b f k r + b E d + k d h + b j d + w a l l h + l E Z ii0 m"
"24.wav" "E $ aa n + n r f E + l l uu0 m + w a l H r j + m n + E l aa + b E D"
"25.wav" "w a l E $ m + uu0 f k r + E m l + t E w ii0 m + E uu0 m + l H l q"
"26.wav" "m aa + ii0 b q AA $ + l ii0 h aa + m E aa d + uu0 l aa + y uu0 m + f ii0 + l aa s b uu0 E"
"27.wav" "z ii0 + s E r + l d uu0 l aa r + k d h + m $ + ^ aa b t"
"28.wav" "b f k r + x l ii0 + l H l q + E uu0 m h aa"
"29.wav" "aa ii0 h + r < ii0 k m + f ii0 + l m UU0 D uu0 E + d h"
"30.wav" "f ii0 + n t Z AA r + r < k uu0 + E l aa + j r uu0 b + h aa l ii0 + l H ii0 + l ii0 + h q f l w aa + q r ii0 b"
"31.wav" "E aa ii0 z + b s + UU0 D H + l l n aa s + l l ii0 + m $ + m E aa n aa + E l aa + l j r uu0 b"
"32.wav" "E $ aa n + m aa + ii0 d x l uu0 $ + ii0 l AA q uu0 n ii0 + b t x AA n q + k d h + uu0 m $ + f aa h m ii0 n + ii0 + H aa j + x AA l S"
"33.wav" "uu0 b E t z l + l m ii0 n + uu0 m ii0 n + l l ii0 + b ii0 $ t k ii0 + uu0 m ii0 n + l l ii0 + m t < f < I1 q"
"34.wav" "aa H n aa + E n d n aa + j r uu0 b + l H b aa ii0 b + q l b ii0 + h aa l ii0 + H ii0 + k r uu0 h aa t"
"35.wav" "aa l l ii0 + s m h + k r uu0 h aa t + b s + E l aa + f ii0 s b uu0 k + d h + E b aa r + E n + x n aa < T + b l k uu0 n aa t"
"36.wav" "k l h m + UU0 q f ii0 n + f ii0 + l b l k uu0 n aa t + k d h + b n r d H + l b E D"
